Recipe_Index,Title,Ingredients,Instructions,Image_Name,Count,Rating
419,"Octopus and Ceci Bean Zuppa with Escarole, Garlic, and Chiles","['1/2 cup dried ceci beans (chickpeas)', 'Kosher salt', '2/3 cup extra virgin olive oil, plus more for finishing', '6 cloves garlic, smashed with the side of a knife', 'Rind of 1/2 lemon, zested into strips using a vegetable peeler', '2 bay leaves', '1 (3- to 4-pound) octopus, defrosted, if frozen, and rinsed', '1 head escarole (about 12 ounces), cored', '3 celery stalks, thinly sliced', '3 to 4 Calabrian chiles', 'stemmed and minced']","Pick over the beans, removing any broken pieces and pebbles, and rinse well. Place in a bowl, add water to cover generously, and let soak for at least 2 hours or up to overnight.
Drain the beans, place in a pot, and add water to cover by about 2 inches. Bring the beans to a boil over high heat, adjust the heat to a slow simmer, and cook, uncovered, for 1 to 1 1/2 hours, or until tender. Season with 1 teaspoon salt and remove from the heat. Let cool completely, transfer the beans and their liquid to a storage container, and refrigerate overnight. Drain the beans, reserving their liquid. You should have 1 to 2 cups liquid, and you will need 2 cups for this recipe. If you have less than 2 cups, add water to the cooking liquid to bring it to 2 cups.
In a large, heavy-bottomed pot, heat 1/3 cup of the olive oil over medium heat. Stir in 3 of the garlic cloves, the strips of lemon zest, 1 bay leaf, and 2 teaspoons kosher salt and cook, stirring occasionally, for 3 minutes, or until the garlic begins to soften. Add the octopus, stir to coat it with the oil, and then weight it down with a plate or lid to ensure it does not begin to float once it starts releasing its water. Cover the pot and adjust the heat to a gentle simmer. The octopus should start slowly releasing its water, creating its own braising liquid.
Cook for about 30 minutes and check to see how much braising liquid is in the pot. If it is about 1 cup or less (unlikely if you are using an uncooked whole octopus), add 1 cup of water. Check the tenderness and continue to cook for 30 to 50 minutes longer, or until almost completely tender. The octopus will dramatically decrease in volume. Remove the pot from the heat and allow the octopus to cool in the braising liquid for 1 hour.
Meanwhile, bring a large pot of salted water to boil. Add the escarole and cook for about 3 minutes, or until tender. Drain well and when cool enough to handle, chop the leaves coarsely and set aside.
Place a colander over a large bowl. Once the octopus has cooled for 1 hour, transfer it to the colander. Strain the braising liquid through a fine-mesh strainer into a measuring pitcher. Add any extra liquid that has drained from the octopus into the bowl to the braising liquid. You will need 1 cup for the zuppa. Give the pot used to cook the octopus a quick wash and return it to the stove.
Transfer the octopus to a large cutting board. Starting at the thickest point of the tentacle, slice into 1/4-inch-thick-pieces, increasing the thickness of the pieces as the tentacle becomes narrower. Halve the head, then cut it into 1/4-inch strips. Set aside.
To prepare the zuppa, heat the remaining 1/3 cup olive oil in the cleaned pot over medium heat. Add the remaining 3 garlic cloves, the celery, the chiles, and the remaining bay leaf and stir well. Stir in the beans and the reserved cooking liquid. Stir in the octopus and the reserved braising liquid. Heat until hot and then taste for seasoning, adding more salt if needed. Stir in the escarole and simmer for a few minutes more.
Ladle the soup into warmed bowls. Top each serving with a drizzle of olive oil. Serve immediately.",octopus-and-ceci-bean-zuppa-with-escarole-garlic-and-chiles-351349,0,
420,Crispy Black Bean Tacos with Feta and Cabbage Slaw,"['1 15-ounce can black beans, drained', '1/2 teaspoon ground cumin', '5 teaspoons olive oil, divided', '1 tablespoon fresh lime juice', '2 cups coleslaw mix', '2 green onions, chopped', '1/3 cup chopped fresh cilantro', '4 white or yellow corn tortillas', '1/3 cup crumbled feta cheese', 'Bottled chipotle hot sauce or other hot sauce']","Place beans and cumin in small bowl; partially mash. Mix 2 teaspoons olive oil and lime juice in medium bowl; add coleslaw, green onions, and cilantro and toss to coat. Season slaw to taste with salt and pepper.
Heat 3 teaspoons olive oil in large nonstick skillet over medium-high heat. Add tortillas in single layer. Spoon 1/4 of bean mixture onto half of each tortilla; cook 1 minute. Fold tacos in half. Cook until golden brown, about 1 minute per side. Fill tacos with feta and slaw. Pass hot sauce alongside.",crispy-black-bean-tacos-with-feta-and-cabbage-slaw-351271,0,
421,Meyer Lemon Custard Cakes,"['3/4 cup plus 2 tablespoons sugar, divided', '1/4 cup all purpose flour', 'Pinch of salt', '1 1/3 cups whole milk', '2 large eggs, separated', '1/3 cup fresh Meyer lemon juice or regular lemon juice', '2 tablespoons finely grated Meyer lemon peel or regular lemon peel', '1 8-ounce container chilled crème fraîche*']","Preheat oven to 177°C. Butter eight 3/4-cup ramekins or custard cups. Whisk 1/2 cup plus 2 tablespoons sugar, flour, and pinch of salt in medium bowl to blend. Combine milk, egg yolks, lemon juice, and lemon peel in large bowl; whisk until blended. Add flour mixture to yolk mixture and whisk custard until blended. Using electric mixer, beat egg whites in another large bowl until soft peaks form. Gradually add remaining 1/4 cup sugar to whites and beat until stiff but not dry. Fold 1/4 of whites into custard. Fold remaining whites into custard in 2 additions (custard will be slightly runny).
Divide custard equally among prepared ramekins. Place ramekins in large roasting pan. Pour enough hot water into pan to come halfway up sides of ramekins. Bake custard cakes until golden brown and set on top (custard cakes will be slightly soft in center), about 27 minutes. Chill custard cakes uncovered until cold, at least 4 hours, then cover and keep refrigerated. DO AHEAD: Custard cakes can be made 1 day ahead. Keep chilled.
Using electric mixer, beat crème fraîche in medium bowl until softly whipped.
Run small knife around each custard cake to loosen. Invert each cake onto plate. Place dollop of crème fraîche atop or alongside cakes and serve.
Sold at some supermarkets and at specialty foods stores.",meyer-lemon-custard-cakes-351277,0,
422,Butternut Squash and Radicchio Pappardelle,"['1/2 stick unsalted butter', '2 tablespoon olive oil', '1/3 cup pine nuts', '1 pound butternut squash, peeled and cut into 1/2-inch cubes (about 2 1/2 cups)', '3/4 pound radicchio, cored and thinly sliced', '1 (8-to 9-ounces) package pappardelle (preferably egg pasta), broken into large pieces', '1/2 cup coarsely grated ricotta salata or Parmigiano-Reggiano (1 ounce)']","Melt butter in a 12-inch heavy skillet over medium heat, then continue to cook until it is golden brown, about 2 minutes. Add oil, then nuts, and cook, stirring, until nuts are golden, 1 to 2 minutes. Transfer with a slotted spoon to a plate.
Add squash to skillet and cook over medium heat, stirring occasionally, until golden and just tender, 6 to 8 minutes. Add radicchio and 1/2 teaspoon each of salt and pepper and cook, stirring, until wilted and just tender, about 3 minutes.
Meanwhile, cook pappardelle in a pasta pot of boiling salted water (2 tablespoon salt for 6 quarts water) until al dente. Reserve 1 cup cooking water, then drain pasta. Add pasta to radicchio mixture with 1/2 cup cooking water and toss over low heat until heated through, 1 to 2 minutes. Add more cooking water to moisten if necessary.
Serve topped with nuts and cheese.",butternut-squash-and-radicchio-pappardelle-351129,0,
423,Warm Frisée-Lardon Salade with Poached Eggs in Red-Wine Sauce,"['1/2 cup chopped shallots', '1 1/2 tablespoons unsalted butter, divided', '1 teaspoon tomato paste', '1 (750-ml) bottle dry red wine', '2 garlic cloves, chopped', '4 thyme sprigs', '1 large parsley sprig', '1 Turkish or 1/2 California bay leaf', '1 (1/4-pound) piece slab bacon, cut crosswise into 1/4-inch sticks (lardons)', '2/3 cup veal demi-glace or 2 tablespoons demi-glace concentrate plus 1/2 cup water', '1/2 tablespoon all-purpose flour', '8 (1/2-inch-thick) baguette slices', '1 tablespoon olive oil', '1 garlic clove, halved', '1 teaspoon distilled white vinegar', '8 large eggs', '1/2 pound frisée, trimmed and torn into pieces (4 cups)', '1 teaspoon distilled white vinegar', '2 teaspoons olive oil']","Cook shallots in 1 tablespoon butter in a heavy medium saucepan over medium heat, stirring, until golden, about 3 minutes. Add tomato paste and cook, stirring, 1 minute. Add wine, garlic, thyme, parsley, bay leaf, 1/2 teaspoon salt, and 1/4 teaspoon pepper and boil until reduced to about 1 cup, 25 to 40 minutes.
Preheat oven to 177°C with racks in upper and lower thirds.
Meanwhile, cook lardons in a small heavy skillet over medium heat, stirring occasionally, until browned but not crisp. Drain on paper towels.
Strain wine mixture through a fine-mesh sieve into a bowl, pressing on and then discarding solids. Return to saucepan, then stir in veal demi-glace and bring to a simmer.
Stir together flour and remaining 1/2 tablespoon butter to make a beurre manié, then whisk into sauce and simmer, whisking occasionally, 3 minutes. Add half of lardons to sauce and keep warm off heat, covered. Wrap remaining lardons in foil and keep warm on rack in lower third of oven.
Brush baguette slices with oil and season lightly with salt and pepper. Toast in upper third of oven until pale golden and crisp, about 10 minutes. Rub garlic on toasts.
Meanwhile, fill a deep large skillet with 1 1/4 inches water, then add vinegar and bring to a simmer. Break 1 egg into a cup and slide egg into water. Repeat with remaining eggs, spacing them apart, and poach at a bare simmer until whites are firm but yolks are still runny, 2 to 3 minutes.
Toss frisée with vinegar and 1/4 teaspoon salt, then with oil, and divide among 4 plates.
Lift each egg out of poaching liquid with a slotted spatula and gently pat dry (still on spatula), then transfer to a toast. Season eggs lightly with salt and pepper and divide among salads. Pour sauce over eggs and sprinkle salads with remaining lardons.",warm-frisee-lardon-salade-with-poached-eggs-in-red-wine-sauce-241765,0,
424,Chocolate Cake with Milk Chocolate-Peanut Butter Frosting and Peanut Butter Brittle,"['Nonstick vegetable oil spray', '3 cups all purpose flour', '2 cups sugar', '2/3 cup sifted natural unsweetened cocoa powder (sifted, then measured)', '2 teaspoons baking soda', '1 teaspoon salt', '2 cups water', '2/3 cup vegetable oil', '2 tablespoons apple cider vinegar', '2 teaspoons vanilla extract', 'Vegetable oil', '1 cup sugar', '1/2 cup light corn syrup', '1/4 cup water', '1 cup chopped lightly salted dryroasted peanuts', '1 teaspoon creamy (smooth) natural peanut butter (made with only peanuts and salt)', '1/2 teaspoon baking soda', '1/2 teaspoon vanilla extract', '4 ounces imported milk chocolate, chopped', '5 tablespoons heavy whipping cream', '2 1/4 cups powdered sugar', '1 1/2 cups chilled heavy whipping cream', '3/4 cup creamy (smooth) natural peanut butter (made with only peanuts and salt)', '3/4 cup chilled mascarpone cheese*']","Line large rimmed baking sheet with foil; brush with oil. Bring sugar, corn syrup, and 1/4 cup water to boil in heavy medium saucepan over medium-high heat, stirring until sugar dissolves. Boil without stirring until syrup is deep amber, swirling pan occasionally, about 10 minutes. Immediately stir in peanuts and all remaining ingredients. Scrape out mixture onto prepared sheet; spread out to about 13x9-inch rectangle. Cool completely. Coarsely chop enough brittle to measure 1 cup and finely chop enough to measure 1/2 cup. DO AHEAD: Can be made 3 days ahead. Store in separate airtight containers at room temperature.
Preheat oven to 177°C. Spray two 9-inch-diameter cake pans with 2-inch-high sides with nonstick spray. Line pan bottoms with parchment paper. Sift flour, sugar, cocoa, baking soda, and salt into large bowl. Whisk 2 cups water, oil, vinegar, and vanilla in medium bowl to blend. Gradually add water mixture to dry ingredients, whisking until batter is smooth. Divide batter between prepared pans (scant 3 cups each).
Bake cakes until tester inserted into center comes out with a few crumbs still attached, about 28 minutes. Cool cakes in pans 15 minutes. Cut around cakes and turn out onto racks. Peel off parchment and cool.
Place chocolate in medium bowl. Bring 5 tablespoons cream just to simmer in small saucepan over medium heat. Pour cream over chocolate; whisk until melted and smooth. Let stand until thick enough to spread, whisking occasionally, about 30 minutes.
Beat powdered sugar, 1 1/2 cups chilled cream, and peanut butter in large bowl just until blended. Add mascarpone; beat frosting just until thickened (do not overbeat).
Place 1 cake layer, flat side up, on platter. Spread milk chocolate filling evenly over; sprinkle with 1/2 cup finely chopped peanut brittle. Spread with 1 cup frosting. Top with second cake layer, flat side down. Spread remaining frosting over top and sides of cake. Cover with cake dome and chill 1 hour. DO AHEAD: Can be made 1 day ahead. Keep chilled. Let stand at room temperature 2 hours before continuing.
Sprinkle 1 cup coarsely chopped brittle over top of cake and serve.
An Italian cream cheese; sold at many supermarkets and at Italian markets.",chocolate-cake-with-milk-chocolate-peanut-butter-frosting-and-peanut-butter-brittle-351020,0,
425,Blue Cheese Gougères,"['1/4 cup dry white wine', '1/4 cup water', '1/4 cup (1/2 stick) unsalted butter, cubed', '3/4 teaspoon freshly ground pepper', '1/4 teaspoon salt', '2/3 cup all purpose flour', '3 large eggs, room temperature', '1/3 cup finely crumbled Danish blue cheese']","Preheat oven to 191°C. Line large rimmed baking sheet with parchment. Combine first 5 ingredients in heavy medium saucepan. Bring to boil over medium heat, stirring until butter is melted. Stir in flour; reduce heat to medium-low. Stir vigorously until mixture forms large dough clumps and film forms on bottom of saucepan, about 1 minute. Remove from heat; cool 5 minutes.
Meanwhile, whisk eggs in medium bowl. Transfer 1 tablespoon beaten egg to small bowl and reserve. Add 1/3 of remaining beaten eggs to dough in saucepan; whisk until well incorporated. Add remaining eggs in 2 additions, stirring until eggs are completely absorbed after each addition (dough will be sticky). Mix in blue cheese.
Drop dough by teaspoonfuls onto baking sheet, forming about 24 walnut-size mounds and spacing about 1 inch apart. Using pastry brush, brush each mound with reserved egg, flattening any pointed tops.
Bake gougères until puffed, golden brown, and dry, about 30 minutes. Do AHEAD: Can be made up to 1 week ahead. Cool completely. Place in airtight containers and store in freezer. Rewarm on baking sheet in 177°C oven until heated through, about 5 minutes. Serve warm.
To make it easier to drop the sticky gougère dough onto the baking sheet, lightly spray the spoon with nonstick vegetable oil spray. To be sure that the gougères are fully baked, pierce the top of one with a small sharp knife. The inside should be hollow and dry. Don't underbake the gougères, as they may collapse.
A fancy party isn't complete without sparkling wine. With the appetizers, try the Cristalino Brut Rosé Cava ($9) from Spain. The pink bubbly is crisp and dry with lovely berry flavors. Plus, it's an incredible deal.",blue-cheese-gougeres-351019,0,
426,Bacon Swiss Burgers with Tomato and Avocado,"['8 slices bacon', '1 pound ground beef chuck or sirloin', '1 teaspoon Worcestershire sauce', '1 or 2 dashes Tabasco sauce', '1/4 teaspoon dried thyme leaves', 'Salt and freshly ground black pepper, to taste', 'Vegetable oil, for grilling', '4 slices Swiss cheese', '4 hamburger buns, toasted, for serving', 'Thinly sliced ripe tomato, for garnish', 'Thinly sliced red onion, for garnish', 'Sliced ripe avocado, for garnish', 'Boston lettuce leaves', 'for garnish']","1. If you will be grilling the burgers, preheat a barbecue grill to medium-high.
2. While the grill is heating up, cook the bacon on the stovetop in a large skillet over medium-low heat until it is just crisp, 6 to 7 minutes. Transfer the bacon to a plate lined with paper towels and set it aside to drain. (If you prefer to panfry the burgers, reserve 2 tablespoons of the bacon fat in the skillet.)
3. Place the beef, Worcestershire, Tabasco, thyme, and salt and pepper in a bowl, and toss lightly with a fork to combine. Form the mixture into 4 patties, each about 3 inches in diameter and 1 inch thick.
4. When you are ready to grill the burgers, oil the grill grate well. Add the burgers and grill for about 3 minutes for rare, 4 minutes for medium-rare meat. Turn them over and grill for another 3 or 4 minutes, topping the burgers with the cheese in the last minute of cooking. (Or panfry the burgers in the hot bacon fat over medium heat for 3 minutes per side for rare meat, adding the cheese as described.)
5. Place the burgers on the toasted buns, and top them with the bacon, tomato, onion, avocado, and lettuce. Cover with the tops of the buns and serve immediately.",bacon-swiss-burgers-with-tomato-and-avocado-350990,0,
427,Turkey Sausage Patties,"['1 small onion, finely chopped', '5 tablespoons vegetable or olive oil, divided', '1/2 cup coarse fresh bread crumbs', '3 tablespoons milk', '2 pounds ground dark-meat turkey', '1/4 teaspoon grated nutmeg', '1/4 teaspoon cinnamon', '1/4 teaspoon cayenne', '1/8 teaspoon ground cloves', '2 large egg yolks']","Preheat oven to 121°C.
Cook onion in 1 tablespoon oil in a 12-inch nonstick skillet over medium heat, stirring occasionally, until golden brown, 6 to 8 minutes. Remove from heat.
Meanwhile, stir together bread crumbs and milk in a large bowl and let stand 5 minutes.
Add onion to crumbs (reserve skillet), then add turkey, nutmeg, cinnamon, cayenne, cloves, yolks, 2 teaspoon salt, and 1 teaspoon black pepper and combine well.
Line a large baking sheet with parchment paper. Form 24 (2-inch-wide) patties (about 1/2 inch thick) with damp hands and arrange on sheet.
Heat 1 tablespoon oil in skillet over medium heat until hot, then cook patties in batches, turning once, until browned and just cooked through, about 8 minutes per batch. Drain briefly on paper towels, then keep warm in a baking pan, loosely covered with foil, in oven. Wipe out skillet and add 1 tablespoon oil between batches.",turkey-sausage-patties-350914,0,
428,Roasted Butternut Squash and Apple Salad,"['2 tablespoons balsamic vinegar', '2 tablespoons fresh lemon juice', '6 tablespoons extra-virgin olive oil', 'Olive oil', 'Nonstick vegetable oil spray', '1/4 cup balsamic vinegar', '2 teaspoons (packed) dark brown sugar', '2 2-pound butternut squash, peeled, halved lengthwise, seeded', 'Coarse kosher salt', '4 heads of Belgian endive, root ends trimmed, leaves separated into individual leaves', '2 unpeeled Fuji apples, halved, cored, cut into matchstick-size strips', '8 ounces blue cheese (such as Maytag), coarsely crumbled', '1/2 cup dried cranberries']","Whisk vinegar and lemon juice in small bowl; gradually whisk in oil. Season with salt and pepper.
Preheat oven to 204°C. Brush 2 large rimmed baking sheets with oil; spray with nonstick spray. Whisk vinegar and sugar in small bowl; set aside. Cut squash halves crosswise into 1/4-inch-thick slices. Arrange squash in single layer on prepared sheets; brush with oil and sprinkle with coarse salt and pepper. Roast 5 minutes; brush with sugar-vinegar mixture. Turn squash over and brush with sugar-vinegar mixture; roast 5 minutes. Roast until squash is tender when pierced with small knife, about 15 minutes longer. Cool on sheets. DO AHEAD: Can be made 4 hours ahead. Let stand at room temperature. Arrange 5 to 6 endive leaves on each of 10 plates. Place butternut squash slices in center of each plate. Scatter apples, cheese, and cranberries over squash. Drizzle dressing over and serve.",roasted-butternut-squash-and-apple-salad-350748,0,
429,Pressed Chicken with Yellow Squash and Tomatoes,"['4 chicken breast halves with skin and bone (2 to 2 1/4 pounds)', '2 tablespoons extra-virgin olive oil', '3/4 pound yellow squash, cut into 1/2-inch pieces', '1 pound tomatoes, coarsely chopped', '2 garlic cloves, chopped', '3 teaspoons chopped marjoram', 'divided']","Pat chicken dry and season with 3/4 teaspoon salt and 1/2 teaspoon pepper. Heat oil in a 12-inch heavy skillet over medium-high heat until it shimmers.
Add chicken, skin side down. Cover with a round of parchment paper, then a heavy pot or skillet, followed by a 3- to 5-pound weight (such as two 32-ounce cans or a brick wrapped in foil). Cook 10 minutes, then remove weight, pot, and parchment.
Turn chicken over and re-cover with a clean round of parchment, pot, and weight, then cook until just cooked through, about 8 minutes more. Transfer chicken to a plate and keep warm, covered.
Add squash, tomatoes, garlic, 2 teaspoons marjoram, and 1/4 teaspoon salt to fat in skillet. Cook over medium-high heat, stirring frequently, until squash is just tender and tomatoes have become saucy, 6 to 8 minutes. Stir in any juices from plate and season with salt and pepper. Spoon over chicken.
Sprinkle chicken and vegetables with remaining teaspoon marjoram.
Serve with: a green salad tossed with red-wine vinaigrette",pressed-chicken-with-yellow-squash-and-tomatoes-243169,0,
430,Dungeness Crab and Heirloom Bean Brandade,"['1 cup dried white heirloom beans (such as marrow beans) or Great Northern beans', '1 celery stalk, cut in half crosswise, plus 1/4 cup finely chopped celery', '1 carrot, peeled', '1 small onion, halved', '1 teaspoon coarse kosher salt', '8 ounces Dungeness crabmeat, picked over', '1 cup (packed) coarsely grated extra-sharp white cheddar cheese (about 4 ounces)', '1/3 cup mayonnaise', '2 tablespoons Dijon mustard', '2 tablespoons fresh lemon juice', '1 tablespoon Worcestershire sauce', '2 tablespoons (1/4 stick) butter', '1/2 cup finely chopped shallots', '3 garlic cloves, minced', '1/4 teaspoon cayenne pepper', '4 ounces Crescenza cheese or cream cheese (about 1/2 cup)', '4 tablespoons chopped fresh Italian parsley, divided', 'Toasted baguette slices']","Rinse beans with cold water; place in large saucepan. Add enough cold water to cover beans by 2 inches; let soak overnight. Drain. Return beans to same pan. Add enough cold water to cover beans by 3 to 4 inches.
Add celery stalk, carrot, and onion. Bring to boil. Reduce heat; simmer uncovered until beans are tender, about 1 hour. Remove from heat. Add 1 teaspoon coarse salt; let beans cool in cooking liquid. DO AHEAD: Can be made 2 days ahead. Cover and chill in cooking liquid. Before using, drain beans, reserving 1/4 cup cooking liquid.
Lightly butter 1-quart baking dish. Combine crab, cheddar cheese, mayonnaise, mustard, lemon juice, and Worcestershire sauce in medium bowl; chill.
Melt butter in large saucepan over medium heat. Add shallots; sauté until soft, about 3 minutes. Add chopped celery, garlic, and cayenne; stir 2 minutes. Add beans and 1/4 cup cooking liquid; cook until heated through, mashing beans coarsely, about 2 minutes. Add Crescenza cheese; stir until melted. Fold in crab mixture and 2 tablespoons parsley. Season with salt and pepper. Transfer to prepared baking dish. DO AHEAD: Can be made 1 day ahead. Chill crab brandade uncovered until cold, then cover and keep chilled.
Preheat oven to 204°C. Bake brandade uncovered until heated through and mixture begins to bubble at edges, about 30 minutes. Sprinkle with 2 tablespoons parsley. Serve warm with toasted baguette slices.
Crescenza cheese is a soft-ripened cow's-milk cheese traditionally made in Italy. Look for it at your local cheese store, or order it online from bellwethercheese.com or mozzco.com.
Try a crisp California Chardonnay with the appetizers. We like the Cakebread Cellars 2007 Napa Valley Chardonnay ($39). It's bright and fruity, with notes of lemon zest and pear. The Napa Valley winery, which was founded in 1973, is currently run by four members of the Cakebread family.",dungeness-crab-and-heirloom-bean-brandade-350424,0,
431,Caramelized-Apple and Pecan Pie,"['2 cups all purpose flour', '1 tablespoon sugar', '3/4 teaspoon salt', '10 tablespoons (1 1/4 sticks) chilled unsalted butter, cut into 1/2-inch cubes', '5 tablespoons (about) chilled orange juice, divided', '1 large egg white, beaten to blend', '1 1/2 cups (packed) golden brown sugar', '3/4 cup (1 1/2 sticks) unsalted butter, diced', '3 Albemarle Pippin apples or Fuji apples (1 1/2 to 1 3/4 pounds), peeled,quartered, cored', '3/4 cup sugar', '2 tablespoons all purpose flour', '1/2 teaspoon salt', '4 large eggs', '1/4 cup light corn syrup', '2 teaspoons vanilla extract', '1 1/2 cup coursely chopped pecans', 'toasted']","Blend flour, sugar, and salt in processor 5 seconds. Add butter. Using on/off turns, blend until butter is reduced to small pea-size pieces. Add 4 tablespoons orange juice. Blend, using on/off turns, until moist clumps form, adding more juice by teaspoonfuls if dough is dry. Gather dough into ball; flatten into disk. Wrap in plastic and chill at least 1 hour. DO AHEAD: Can be made 1 day ahead. Keep chilled.
Roll out dough on floured surface to 14-inch round. Transfer to 10-inch-diameter glass pie dish. Cut off all but 1/2 inch of dough overhang. Fold dough edge under and crimp decoratively, forming high-standing rim. Freeze 10 minutes. DO AHEAD: Can be made 1 day ahead. Cover and refrigerate crust.
Brush inside of crust with enough beaten egg white to coat.
Preheat oven to 177°C. Whisk brown sugar and butter in large ovenproof skillet over medium heat until butter melts, sugar dissolves, and mixture comes to boil. Boil 1 minute, whisking constantly. Remove from heat. Arrange apples, rounded side down, in syrup. Bake 15 minutes; turn over. Bake until just tender, about 20 minutes longer. Transfer apples to paper towels to cool slightly. Whisk syrup in skillet until smooth. Cool slightly and reserve. Maintain oven temperature.
Mix sugar, flour, and salt in small bowl. Place eggs in medium bowl. Gradually whisk in reserved syrup from apples. Add corn syrup, vanilla, and sugar mixture; whisk until smooth. Stir in pecans. Pour filling into crust. Arrange apples, rounded side up, atop filling.
Bake pie until filling is set in center, covering edges with foil if browning too quickly, about 1 hour 20 minutes. Transfer to rack and cool completely. DO AHEAD: Can be made 1 day ahead. Cover loosely with foil and let stand at room temperature.",caramelized-apple-and-pecan-pie-350431,0,
432,Huevos Rancheros in Tortilla Cups,"['4 tablespoons olive oil, divided', '6 6- to 61/2-inch-diameter corn tortillas', '1 15-ounce can pinto beans or black beans, drained', '2/3 cup chopped fresh cilantro, divided', '1 teaspoon ground cumin', '6 large eggs', '3/4 cup grated Monterey Jack cheese', '1 cup purchased pico de gallo', '2 to 3 teaspoons bottled chipotle hot sauce']","Preheat oven to 177°C. Brush six 10-ounce custard cups with 1 tablespoon oil. Stack tortillas; microwave uncovered until warm and flexible, about 25 seconds. Gently press 1 tortilla into each cup. Brush tortillas with 2 tablespoons oil.
Place pinto beans, remaining 1 tablespoon oil, 1/3 cup chopped cilantro, and cumin in small bowl; mash coarsely with fork. Spoon bean mixture into bottom of tortilla cups, spreading and dividing evenly. Crack 1 egg into each tortilla cup atop beans. Sprinkle each with grated Monterey Jack cheese, covering egg completely. Bake uncovered until egg yolks are firm to touch and whites are set, about 27 minutes (yolks will still be soft inside).
Meanwhile, mix pico de gallo, 1/3 cup cilantro, and hot sauce in small bowl. Using large spoon, lift tortilla cups from dishes; transfer to plates. Top eggs with pico de gallo and serve immediately.",huevos-rancheros-in-tortilla-cups-350400,0,
433,Semolina Gnocchi with Oxtail Ragù,"['5 pounds 2- to 3-inch pieces oxtails', 'All purpose flour', '1/2 cup olive oil', '5 large celery stalks, coarsely chopped', '2 large carrots, peeled, chopped', '1 large onion, very coarsely chopped', '2 cups dry red wine', '1 1/4 cups canned crushed tomatoes with added puree', '4 garlic cloves, chopped', '6 fresh Italian parsley sprigs', '2 large fresh rosemary sprigs', '3 Turkish bay leaves', '2 cups beef broth', '1 cup low-salt chicken broth', '3 cups whole milk', '1/2 cup (1 stick) unsalted butter, diced', '1 1/2 teaspoons salt', '1 cup semolina flour (pasta flour)*', '4 large egg yolks', '1 1/2 cups grated Parmesan cheese, divided', 'Chopped fresh Italian parsley', 'Available at some supermarkets and at specialty foods stores and Italian markets.']","Preheat oven to 163°C. Sprinkle oxtails with salt and pepper, then flour. Heat oil in heavy wide ovenproof pot over high heat. Add oxtails; cook until brown on all sides, about 15 minutes. Transfer to bowl. Add celery, carrots, and onion to pot. Reduce heat to medium-high and sauté until vegetables brown, about 15 minutes. Add wine and tomatoes. Boil until thickened to chunky sauce, about 5 minutes. Sprinkle in garlic. Tie parsley, rosemary, and bay leaves with kitchen string and add to pot. Return oxtails to pot in single layer. Add all broth; bring to boil. Cover pot; place in oven.
Braise oxtails until very tender, about 2 hours. Transfer oxtails to rimmed baking sheet. Using potato masher, crush juices and vegetables in pot to coarse sauce. Pull meat off oxtails and add to sauce. Season ragù with salt and pepper. DO AHEAD: Can be made 2 days ahead. Cool, cover, and chill. Rewarm before continuing.
Butter 13x9x2-inch glass baking dish. Bring milk, butter, and salt to simmer in heavy large pot over medium-high heat. Gradually whisk in semolina. Stir until semolina is very thick and bubbling, about 3 minutes. Remove from heat; mix in yolks, 1 at a time, then 1 cup Parmesan. Place pot over low heat and stir 2 minutes. Spread semolina in prepared dish. Cover and chill until firm, at least 2 hours and up to 2 days. Preheat oven to 246°C. Butter 15x10x2- inch glass baking dish. Using 1 3/4-inch round cutter, cut out as many semolina gnocchi as possible; arrange in prepared dish. Top with warm ragù sprinkle with remaining 1/2 cup Parmesan. Bake until heated through, 10 to 15 minutes. Sprinkle with parsley.",semolina-gnocchi-with-oxtail-ragu-243396,0,
434,Smokin' Chipotle Pork Stew,"['2 tablespoons olive or vegetable oil', '1 1/2 pounds boneless pork shoulder, cut into one-inch cubes', '2 medium onions, diced', '1 (12-ounce) bottle or can beer', '5 to 7 chipotle peppers in adobo sauce plus 3 tablespoons adobo sauce', '2 teaspoons ground cumin, or to taste', 'Salt and freshly ground pepper', 'to taste']","1. Heat a large Dutch oven over medium-high heat until very hot, about two minutes. Add the oil. Add the pork and cook, in batches if necessary, until browned on all sides. Transfer the pork to a bowl and set aside.
2. Reduce the heat to low. Add the onions, stirring to scrape up the browned bits from the bottom of the pot. Cover with a tight-fitting lid and cook, stirring occasionally, until the onions are golden and slightly browned around the edges, about 10 minutes. Add the reserved pork, beer, chipotles, adobo sauce, cumin, salt, and pepper; stir until combined. Simmer, covered, stirring occasionally, until the pork is fork-tender, about 1 1/2 hours.",smokin-chipotle-pork-stew-243224,0,
